event_id,year,longitude,latitude,depth,magnitude,mb,ms,strike1,dip1,rake1,distance_to_boundary,boundary_type,plate1,plate2,segment_id,relative_velocity,movement_direction,convergence_rate,transform_rate,extension_rate,boundary_motion_type,grid_cell,is_near_boundary,fault_type,fault_type_code
C010676A,1976,159.33,51.6,33.0,6.0,5.7,6.0,62.0,315.0,126.0,0.9241671980761915,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,339_141,1,reverse,1
M012176A,1976,149.12,44.92,41.0,7.0,6.3,7.0,59.0,291.0,126.0,1.2146115634226449,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,329_134,0,reverse,1
C020376A,1976,161.89,54.5,33.0,6.0,6.0,5.2,60.0,274.0,136.0,1.2553087309502855,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,341_144,0,reverse,1
C092276A,1976,149.23,44.88,64.0,6.1,6.1,0.0,53.0,11.0,149.0,1.1623257933987379,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,329_134,0,reverse,1
C110876A,1976,142.24,38.09,38.0,6.0,5.9,6.0,62.0,311.0,114.0,1.609897204792895,:OSR,,EU,59,0.0,0.0,0.0,0.0,0.0,unknown,322_128,0,reverse,1
B010177C,1977,137.06,30.66,476.0,5.2,5.2,0.0,29.0,354.0,230.0,2.2722239348268456,:OSR,NZ,PA,74,0.0,0.0,0.0,0.0,0.0,unknown,317_120,0,normal,2
B020377A,1977,150.44,45.37,33.0,5.5,5.5,0.0,76.0,307.0,120.0,1.0212237756730895,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,330_135,0,reverse,1
B020377B,1977,130.93,42.97,506.0,5.0,5.0,0.0,30.0,16.0,274.0,6.527892080143483,:CRB*,AM,EU,102,0.5381755738607623,73.53448378774306,0.1614526721582287,0.26908778693038116,0.10763511477215247,transform,310_132,0,normal,2
B021877A,1977,142.04,41.41,5.0,5.6,5.5,5.6,70.0,311.0,106.0,2.4787829675064477,:OSR,,EU,59,0.0,0.0,0.0,0.0,0.0,unknown,322_131,0,reverse,1
B021877B,1977,140.82,33.07,42.0,6.0,6.0,5.7,44.0,177.0,272.0,1.2058898166913992,:OCB,PS,CL,79,2.062136727167503,141.9508052622589,0.6186410181502509,1.0310683635837514,0.41242734543350057,transform,320_123,0,normal,2
C021977A,1977,170.03,53.57,33.0,6.7,6.2,6.7,45.0,311.0,156.0,0.7666774093450236,:OSR,PA,JF,63,0.0,0.0,0.0,0.0,0.0,unknown,350_143,1,strike-slip,0
B022477B,1977,142.51,42.39,75.0,5.3,5.3,0.0,10.0,137.0,230.0,2.4819317073602294,:OSR,,EU,59,0.0,0.0,0.0,0.0,0.0,unknown,322_132,0,normal,2
B030977A,1977,130.88,41.61,528.0,5.9,5.9,0.0,58.0,86.0,295.0,5.9757351355293435,:CRB*,AM,EU,102,0.5331985017006327,74.8395256233712,0.15995955051018979,0.2665992508503163,0.10663970034012654,transform,310_131,0,normal,2
B031977A,1977,148.2,44.2,70.0,6.0,6.0,0.0,82.0,339.0,102.0,1.001929343816222,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,328_134,0,reverse,1
B033077A,1977,140.19,31.46,33.0,5.3,5.3,5.3,82.0,28.0,183.0,1.9743171072550572,:OCB,PS,CL,79,1.944702372044269,143.63003083797375,0.5834107116132807,0.9723511860221346,0.3889404744088538,transform,320_121,0,strike-slip,0
B042077B,1977,137.48,30.6,493.0,5.5,5.5,0.0,12.0,142.0,15.0,2.461343862608385,:OSR,NZ,PA,74,0.0,0.0,0.0,0.0,0.0,unknown,317_120,0,strike-slip,0
B051277E,1977,154.99,50.16,126.0,5.3,5.3,0.0,31.0,148.0,298.0,2.401476387558284,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,334_140,0,normal,2
B060877B,1977,141.49,38.54,78.0,5.5,5.5,0.0,32.0,21.0,284.0,2.466595680284862,:OSR,,EU,59,0.0,0.0,0.0,0.0,0.0,unknown,321_128,0,normal,2
B061977A,1977,151.09,47.15,149.0,5.6,5.6,0.0,37.0,94.0,317.0,2.300469030437054,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,331_137,0,normal,2
B071177A,1977,176.31,51.41,13.0,5.1,5.1,4.8,62.0,318.0,164.0,0.6575703840654598,:OSR,PA,JF,63,0.0,0.0,0.0,0.0,0.0,unknown,356_141,1,strike-slip,0
B081877B,1977,153.71,46.63,33.0,5.7,5.7,5.0,65.0,357.0,138.0,0.5208886637276602,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,333_136,1,reverse,1
B082177B,1977,141.12,35.24,42.0,5.5,5.5,5.2,51.0,325.0,173.0,0.7532000066383461,CCB,OK,PS,75,1.7075445146860293,113.6101843121957,0.5122633544058087,0.8537722573430147,0.34150890293720587,transform,321_125,1,strike-slip,0
B090477B,1977,178.39,51.21,34.0,6.4,5.6,6.4,57.0,324.0,164.0,0.6008853551219284,:OSR,PA,JF,63,0.0,0.0,0.0,0.0,0.0,unknown,358_141,1,strike-slip,0
B090477C,1977,178.27,51.1,31.0,6.4,5.5,6.4,58.0,331.0,164.0,0.5323919702625085,:OSR,PA,JF,63,0.0,0.0,0.0,0.0,0.0,unknown,358_141,1,strike-slip,0
M090477D,1977,177.95,51.14,8.0,6.6,5.8,6.6,62.0,305.0,160.0,0.5182834745580738,:OSR,PA,JF,63,0.0,0.0,0.0,0.0,0.0,unknown,357_141,1,strike-slip,0
B090477E,1977,178.25,51.18,41.0,5.5,5.5,5.3,50.0,25.0,177.0,0.613463291485317,:OSR,PA,JF,63,0.0,0.0,0.0,0.0,0.0,unknown,358_141,1,strike-slip,0
B090977A,1977,131.36,42.98,499.0,4.9,4.9,0.0,7.0,15.0,282.0,6.923672220000026,:CRB*,AM,EU,102,0.5384755948484976,73.42700135913724,0.16154267845454928,0.2692377974242488,0.10769511896969952,transform,311_132,0,normal,2
B092177A,1977,155.21,51.75,231.0,5.6,5.6,0.0,33.0,129.0,334.0,3.5418294481807036,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,335_141,0,strike-slip,0
B100477B,1977,139.74,36.09,66.0,5.4,5.4,0.0,36.0,230.0,83.0,1.1889477742945689,CCB,OK,PS,75,1.6462277035437527,113.12884716763217,0.4938683110631258,0.8231138517718763,0.32924554070875056,transform,319_126,0,reverse,1
