event_id,year,longitude,latitude,depth,magnitude,mb,ms,strike1,dip1,rake1,distance_to_boundary,boundary_type,plate1,plate2,segment_id,relative_velocity,movement_direction,convergence_rate,transform_rate,extension_rate,boundary_motion_type,grid_cell,is_near_boundary,fault_type,fault_type_code
B010677C,1977,28.7,-2.51,21.0,5.3,5.3,0.0,0.0,151.0,180.0,0.2644606777953954,:CRB,SO,AF,213,0.23847666719237637,100.3876662261795,0.07154300015771291,0.11923833359618818,0.047695333438475276,transform,208_87,1,strike-slip,0
B070877B,1977,39.63,10.94,38.0,5.0,5.0,0.0,10.0,265.0,171.0,1.4068049230792414,:CRB,SO,AF,213,0.2975313013654288,93.84079378804066,0.08925939040962864,0.1487656506827144,0.05950626027308577,transform,219_100,0,strike-slip,0
B121577A,1977,34.91,-4.76,33.0,5.6,4.8,5.6,16.0,42.0,182.0,4.20463867693765,:CRB,SO,AF,213,0.19436434048473927,105.42546534073026,0.05830930214542178,0.09718217024236964,0.03887286809694786,transform,214_85,0,strike-slip,0
C122877A,1977,40.28,16.66,33.0,6.6,5.9,6.6,10.0,62.0,327.0,0.12837231009840155,:CRB,AR,AF,210,0.9314832909776989,77.22276049341933,0.27944498729330963,0.46574164548884944,0.18629665819553978,transform,220_106,1,normal,2
B010878A,1978,34.27,-12.09,33.0,5.1,5.1,0.0,0.0,248.0,180.0,0.33131835143861293,:CRB,SO,AF,213,0.13614008655178722,111.44264244694828,0.04084202596553616,0.06807004327589361,0.027228017310357445,transform,214_77,1,strike-slip,0
B011778B,1978,40.26,16.52,10.0,5.2,5.2,5.0,0.0,237.0,147.0,0.23338928852884502,:CRB,AR,AF,210,0.9363133160259487,77.3345710818292,0.2808939948077846,0.46815665801297435,0.18726266320518975,transform,220_106,1,reverse,1
B110778A,1978,42.59,11.54,33.0,5.4,5.3,5.4,16.0,22.0,286.0,0.3580177230249881,:OSR,SO,AR,208,0.8812450631250881,84.73180068622234,0.2643735189375264,0.44062253156254405,0.17624901262501763,transform,222_101,1,normal,2
B110878B,1978,42.57,11.56,62.0,4.9,4.9,0.0,1.0,16.0,106.0,0.35892713745271176,:OSR,SO,AR,208,0.879880762661184,84.70494518588174,0.2639642287983552,0.439940381330592,0.1759761525322368,transform,222_101,1,reverse,1
B122178C,1978,43.09,11.51,33.0,5.4,5.2,5.4,1.0,21.0,111.0,0.37825479507866566,:OSR,SO,AR,208,0.8946982902917284,84.98913278948893,0.2684094870875185,0.4473491451458642,0.1789396580583457,transform,223_101,1,reverse,1
B110679B,1979,41.17,-12.6,10.0,4.9,4.9,0.0,17.0,260.0,138.0,6.611338522568636,:CRB,SO,AF,213,0.10294789135197568,115.2990393671742,0.030884367405592705,0.05147394567598784,0.020589578270395138,transform,221_77,0,reverse,1
B010980B,1980,27.44,-3.45,10.0,5.0,5.0,4.6,8.0,349.0,248.0,1.503893273507131,:CRB,SO,AF,213,0.23660556703604296,100.56528343008243,0.07098167011081288,0.11830278351802148,0.0473211134072086,transform,207_86,0,normal,2
B011480B,1980,40.27,16.52,10.0,5.7,5.3,5.7,3.0,250.0,341.0,0.23735745195801516,:CRB,AR,AF,210,0.9365395291951408,77.33934164225909,0.28096185875854224,0.4682697645975704,0.18730790583902818,transform,220_106,1,strike-slip,0
B011480D,1980,40.23,16.45,10.0,5.3,5.3,5.1,0.0,256.0,166.0,0.15724681236832785,:CRB,AR,AF,210,0.938276473911686,77.38093974237961,0.2814829421735058,0.469138236955843,0.18765529478233722,transform,220_106,1,strike-slip,0
B050380A,1980,43.13,10.01,10.0,5.3,5.3,5.2,7.0,174.0,291.0,1.8081959766573985,:OSR,SO,AR,208,0.9612874409313408,86.32958815888594,0.28838623227940224,0.4806437204656704,0.19225748818626817,transform,223_100,0,normal,2
B053080A,1980,43.1,10.0,10.0,5.2,5.2,4.4,26.0,322.0,175.0,1.8135464399898895,:OSR,SO,AR,208,0.9610076582969151,86.32452596805837,0.28830229748907454,0.4805038291484576,0.19220153165938303,transform,223_100,0,strike-slip,0
B073081B,1981,28.46,-2.71,33.0,5.0,5.0,4.0,0.0,145.0,180.0,0.574309542058983,:CRB,SO,AF,213,0.2379488619550285,100.4400386864865,0.07138465858650855,0.11897443097751426,0.0475897723910057,transform,208_87,1,strike-slip,0
B042982B,1982,41.38,-10.64,10.0,5.2,5.2,0.0,0.0,266.0,180.0,6.682139295914149,:CRB,SO,AF,213,0.11918961387358795,113.69883681754038,0.03575688416207638,0.059594806936793976,0.023837922774717593,transform,221_79,0,strike-slip,0
B070382C,1982,28.95,-3.74,10.0,5.2,5.2,0.0,5.0,269.0,172.0,0.22230891592556482,:CRB,SO,AF,213,0.22774939994687138,101.5762751358132,0.06832481998406141,0.11387469997343569,0.04554987998937428,transform,208_86,1,strike-slip,0
B121382B,1982,44.29,14.75,10.0,6.0,5.9,6.0,8.0,48.0,249.0,2.7464763552595888,:OSR,SO,AR,208,0.7826815632693709,82.68629779537308,0.23480446898081125,0.39134078163468544,0.1565363126538742,transform,224_104,0,normal,2
B122982C,1982,44.46,14.65,5.0,5.3,5.3,5.0,3.0,225.0,120.0,2.6379344893306196,:OSR,SO,AR,208,0.7911959003124558,82.8517690268315,0.23735877009373674,0.3955979501562279,0.15823918006249116,transform,224_104,0,reverse,1
B070783B,1983,27.86,-7.25,10.0,5.7,5.7,5.5,6.0,124.0,12.0,2.085956938218044,:CRB,SO,AF,213,0.20470824040056446,104.05003239785793,0.061412472120169335,0.10235412020028223,0.04094164808011289,transform,207_82,0,strike-slip,0
B092883B,1983,43.1,11.52,5.0,5.1,5.1,4.6,20.0,191.0,96.0,0.37755885633898534,:OSR,SO,AR,208,0.894502764088398,84.98493663680533,0.26835082922651937,0.447251382044199,0.1789005528176796,transform,223_101,1,reverse,1
B093083A,1983,43.26,11.81,10.0,5.4,5.4,5.4,8.0,13.0,279.0,0.4189686026422517,:OSR,SO,AR,208,0.8856911444241424,84.80322593436688,0.2657073433272427,0.4428455722120712,0.1771382288848285,transform,223_101,1,normal,2
