segment_name,segment_id,point_index,longitude,latitude,plate1,plate2,boundary_type
AF-AN,0,0,-0.4379,-54.8518,AF,AN,:OSR
AF-AN,0,1,-0.0388257,-54.6772,AF,AN,:OSR
AF-AN,0,2,0.443182,-54.4512,AF,AN,:OSR
AF-AN,0,3,0.964534,-54.8322,AF,AN,:OSR
AF-AN,0,4,1.69481,-54.399,AF,AN,:OSR
AF-AN,0,5,2.35975,-54.0374,AF,AN,:OSR
AF-AN,0,6,3.02542,-53.6507,AF,AN,:OSR
AF-AN,0,7,3.36894,-53.8341,AF,AN,:OSR
AF-AN,0,8,3.95638,-54.1267,AF,AN,:OSR
AF-AN,0,9,4.41458,-54.4303,AF,AN,:OSR
AF-AN,0,10,4.82661,-54.1616,AF,AN,:OSR
AF-AN,0,11,5.08372,-54.3093,AF,AN,:OSR
AF-AN,0,12,5.49469,-54.5429,AF,AN,:OSR
AF-AN,0,13,6.18373,-54.1145,AF,AN,:OSR
AF-AN,0,14,6.6254,-53.8142,AF,AN,:OSR
AF-AN,0,15,7.23729,-54.1012,AF,AN,:OSR
AF-AN,0,16,7.77235,-54.396,AF,AN,:OSR
AF-AN,1,0,7.77235,-54.396,AF,AN,:OSR
AF-AN,1,1,8.28834,-54.0326,AF,AN,:OSR
AF-AN,1,2,8.79876,-53.668,AF,AN,:OSR
AF-AN,1,3,9.42869,-53.2326,AF,AN,:OSR
AF-AN,1,4,9.99306,-52.7923,AF,AN,:OSR
AF-AN,1,5,10.5424,-53.0655,AF,AN,:OSR
AF-AN,1,6,10.9748,-53.332,AF,AN,:OSR
AF-AN,1,7,11.7084,-52.7829,AF,AN,:OSR
AF-AN,1,8,12.2989,-52.375,AF,AN,:OSR
AF-AN,1,9,12.8951,-51.9629,AF,AN,:OSR
AF-AN,1,10,13.2042,-52.141,AF,AN,:OSR
AF-AN,1,11,13.7876,-52.4769,AF,AN,:OSR
AF-AN,1,12,14.4633,-51.9971,AF,AN,:OSR
AF-AN,1,13,15.1124,-52.3075,AF,AN,:OSR
AF-AN,1,14,15.428,-52.0836,AF,AN,:OSR
AF-AN,1,15,15.8223,-51.787,AF,AN,:OSR
AF-AN,1,16,16.9072,-52.1693,AF,AN,:OSR
AF-AN,1,17,17.8063,-52.4669,AF,AN,:OSR
AF-AN,1,18,18.5374,-52.7343,AF,AN,:OSR
AF-AN,1,19,18.7125,-52.5529,AF,AN,:OSR
AF-AN,1,20,19.9938,-52.8167,AF,AN,:OSR
AF-AN,1,21,21.2504,-52.9088,AF,AN,:OSR
AF-AN,1,22,22.5042,-53.0512,AF,AN,:OSR
AF-AN,1,23,23.0753,-53.0977,AF,AN,:OSR
AF-AN,1,24,23.0214,-53.2004,AF,AN,:OSR
AF-AN,1,25,23.8862,-53.3086,AF,AN,:OSR
AF-AN,1,26,24.6851,-53.4215,AF,AN,:OSR
AF-AN,1,27,24.8726,-53.3453,AF,AN,:OSR
AN-AF,2,0,32.1258,-46.9998,AN,AF,:OTF
AN-AF,2,1,31.8654,-47.2011,AN,AF,:OTF
AN-AF,2,2,31.5885,-47.6822,AN,AF,:OTF
AN-AF,2,3,31.3065,-48.1627,AN,AF,:OTF
AN-AF,2,4,31.0081,-48.5871,AN,AF,:OTF
AN-AF,2,5,30.7046,-49.0106,AN,AF,:OTF
AN-AF,2,6,30.3617,-49.2155,AN,AF,:OTF
AN-AF,2,7,30.006,-49.6108,AN,AF,:OTF
AN-AF,2,8,29.7115,-49.9335,AN,AF,:OTF
AN-AF,2,9,29.3431,-50.507,AN,AF,:OTF
AN-AF,2,10,28.9688,-51.1373,AN,AF,:OTF
AN-AF,2,11,28.6054,-51.7716,AN,AF,:OTF
AN-AF,2,12,28.4027,-52.2771,AN,AF,:OTF
AN-AF,2,13,28.3122,-52.54,AN,AF,:OTF
AN-AF,2,14,28.1108,-52.9037,AN,AF,:OTF
AN-AF,2,15,27.4795,-52.7708,AN,AF,:OTF
AN-AF,2,16,27.3704,-52.673,AN,AF,:OTF
AN-AF,2,17,27.3221,-52.5472,AN,AF,:OTF
AN-AF,2,18,26.7131,-52.378,AN,AF,:OTF
AN-AF,2,19,26.5129,-52.6201,AN,AF,:OTF
AN-AF,2,20,26.3382,-53.065,AN,AF,:OTF
AN-AF,2,21,26.1809,-53.4288,AN,AF,:OTF
AN-AF,2,22,25.9869,-53.5818,AN,AF,:OTF
AN-AF,2,23,25.8614,-53.4799,AN,AF,:OTF
AN-AF,2,24,25.6475,-53.41,AN,AF,:OTF
AN-AF,2,25,25.1797,-53.4441,AN,AF,:OTF
AN-AF,2,26,24.8726,-53.3453,AN,AF,:OTF
SO-AN,3,0,32.1258,-46.9998,SO,AN,OSR
SO-AN,3,1,33.1739,-47.2644,SO,AN,OSR
SO-AN,3,2,33.3585,-46.8055,SO,AN,OSR
SO-AN,3,3,33.54,-46.3464,SO,AN,OSR
SO-AN,3,4,33.8184,-45.9791,SO,AN,OSR
SO-AN,3,5,33.9824,-46.0812,SO,AN,OSR
SO-AN,3,6,34.0869,-46.0899,SO,AN,OSR
SO-AN,3,7,34.2672,-46.2123,SO,AN,OSR
SO-AN,3,8,34.5037,-46.2216,SO,AN,OSR
SO-AN,3,9,34.704,-45.9714,SO,AN,OSR
SO-AN,3,10,34.8682,-45.4657,SO,AN,OSR
SO-AN,3,11,35.0145,-45.1058,SO,AN,OSR
SO-AN,3,12,35.1819,-44.8555,SO,AN,OSR
SO-AN,3,13,35.6603,-44.866,SO,AN,OSR
SO-AN,3,14,35.9729,-44.9607,SO,AN,OSR
